*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=speeduino pro NA6
*Date=14:02:53
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;sod-323;49.9412;-32.9769;-90;Top;U9
102;;;83.7184;-40.7799;0;Bottom;Copper Fill428
103;;THT;96.2962;-87.707;180;Bottom;HC-05 B/T
104;;;45.6184;-44.5899;0;Bottom;Copper Fill167
105;;;41.7068;-52.7814;0;Bottom;Copper Fill88
106;;;49.3268;-57.8614;0;Bottom;Copper Fill62
107;;THT;45.4962;-61.672;0;Bottom;J32
108;1k;0805 [SMD];19.2405;-56.592;180;Top;R37
109;;;42.9133;-15.545;0;Bottom;Copper Fill475
110;;;39.1668;-65.4814;0;Bottom;Copper Fill14
111;;ptc-1206;18.1913;-18.3619;90;Top;F1
112;;;47.3329;-72.9744;0;Bottom;Copper Fill223
113;;;5.4737;-55.1944;0;Bottom;Copper Fill448
114;;;59.563;-45.1995;0;Bottom;Copper Fill507
115;;LQFP;79.9612;-17.0696;0;Top;IC7
116;;;74.4474;-35.0395;0;Bottom;Copper Fill134
117;;;5.0038;-54.7499;0;Bottom;Copper Fill450
118;;;82.0342;-66.5079;0;Bottom;TXT11
119;;;54.356;-33.579;0;Bottom;Copper Fill384
120;;;5.4911;-66.117;0;Bottom;Via65
121;;;95.0214;-59.1314;0;Bottom;Copper Fill52
122;;;61.7982;-52.7814;0;Bottom;Copper Fill344
123;;;48.0361;-75.642;0;Bottom;Via70
124;;;29.0068;-55.3214;0;Bottom;Copper Fill328
125;;;31.5468;-62.9414;0;Bottom;Copper Fill279
126;;;61.1632;-75.6795;0;Bottom;Copper Fill477
127;;;56.9468;-65.4814;0;Bottom;Copper Fill274
128;1k;0805 [SMD];28.5961;-87.7069;180;Top;R16
129;;THT;50.5762;-59.132;0;Bottom;J49
130;;;61.9633;-41.6054;0;Bottom;Copper Fill148
131;;;83.5406;-47.93;0;Bottom;Copper Fill363
132;;;51.9684;-35.6999;0;Bottom;Copper Fill443
133;;;83.439;-25.7558;0;Bottom;Copper Fill107
134;;;44.2468;-62.9414;0;Bottom;Copper Fill30
135;;;89.789;-19.2534;0;Bottom;Copper Fill410
136;4.7nF;0805 [SMD, multilayer];48.4262;-22.3019;0;Top;C11
137;;;36.6268;-62.9414;0;Bottom;Copper Fill281
138;;;26.2382;-6.9979;0;Bottom;Copper Fill470
139;;;29.0068;-65.4814;0;Bottom;Copper Fill10
140;;THT;32.7962;-56.592;0;Bottom;J3
141;0.22µF;0805 [SMD, multilayer];61.7448;-24.207;0;Top;C8
142;;;62.3824;-42.0499;0;Bottom;Copper Fill150
143;;;18.8261;-86.4371;0;Bottom;Via67
144;;;22.0011;-57.862;0;Bottom;Via36
