*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.3.1
*Date=23:49:58
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;49.4801;-97.2903;0;Bottom;TXT1
2;;;96.3197;-44.2327;0;Bottom;Hole6
3;;;32.7533;-86.5302;0;Bottom;Copper Fill239
4;;;12.319;-97.6173;0;Bottom;Copper Fill52
5;;THT;96.3196;-23.9127;0;Bottom;JP5
6;10k;THT;86.1596;-22.6427;90;Bottom;R39
7;;;58.1533;-32.0726;0;Bottom;Copper Fill118
8;;;95.0468;-83.6092;0;Bottom;Copper Fill203
9;;;58.6486;-58.2473;0;Bottom;Copper Fill366
10;;300 mil [THT];42.9796;-129.348;90;Bottom;D11
11;;;73.8124;-123.017;0;Bottom;Copper Fill77
12;0.1µF;200 mil [THT, multilayer];30.2796;-105.193;-90;Bottom;C15
13;;;75.5142;-123.017;0;Bottom;Copper Fill78
14;;;59.5376;-55.0088;0;Bottom;Copper Fill219
15;;;9.144;-40.4673;0;Bottom;Copper Fill135
16;;;59.4868;-93.566;0;Bottom;Copper Fill192
17;;;58.6486;-55.7073;0;Bottom;Copper Fill327
18;;;36.5633;-26.9926;0;Bottom;Copper Fill125
19;;;81.5086;-102.697;0;Bottom;Copper Fill340
20;;;18.7833;-43.5534;0;Bottom;Copper Fill306
21;470;THT;62.0296;-22.6427;-90;Bottom;R6
22;;;22.225;-22.6873;0;Bottom;Copper Fill180
23;;;2.15138;-55.5168;0;Bottom;TXT4
24;;;95.0468;-53.1292;0;Bottom;Copper Fill224
25;;;27.4574;-127.119;0;Bottom;Copper Fill184
26;;;24.3586;-102.697;0;Bottom;Copper Fill113
27;;;19.1262;-81.1073;0;Bottom;Copper Fill49
28;;;83.5533;-38.3718;0;Bottom;Copper Fill313
29;;;43.3324;-64.5973;0;Bottom;Copper Fill137
30;;;49.2633;-33.8506;0;Bottom;Copper Fill56
31;;;71.3486;-26.4973;0;Bottom;Copper Fill177
32;;;46.7868;-91.2546;0;Bottom;Copper Fill194
33;;;73.3933;-32.0726;0;Bottom;Copper Fill120
34;;;88.6333;-101.923;0;Bottom;Copper Fill356
35;5V;TO220 [THT];95.3036;-102.653;90;Bottom;U1
36;;;95.0468;-55.6692;0;Bottom;Copper Fill27
37;;;95.0468;-58.2092;0;Bottom;Copper Fill26
38;;;72.1233;-25.7226;0;Bottom;Copper Fill372
39;0.22µF;200 mil [THT, multilayer];73.4596;-35.3427;-90;Bottom;C10
40;;;15.0241;-39.6926;0;Bottom;Copper Fill344
41;;;74.6633;-122.192;0;Bottom;Copper Fill76
42;;;36.7665;-9.6698;0;Bottom;Copper Fill178
43;;v18za2p;26.4696;-98.8427;0;Bottom;U2
44;;;53.9242;-77.2973;0;Bottom;Copper Fill106
45;;TO220 [THT];35.3596;-79.5387;180;Bottom;Q7
46;;;89.4334;-102.697;0;Bottom;Copper Fill358
47;;;45.0342;-67.1373;0;Bottom;Copper Fill347
48;;THT;93.7796;-37.8827;90;Bottom;JP2
49;;;41.6375;-0.864567;0;Bottom;TXT4
50;;;95.0468;-88.6892;0;Bottom;Copper Fill12
51;;;53.0733;-130.98;0;Bottom;Copper Fill284
52;;;18.7833;-62.6034;0;Bottom;Copper Fill91
53;;;70.0278;-88.4352;0;Bottom;Copper Fill11
54;;;76.3524;-58.2473;0;Bottom;Copper Fill342
55;;;95.0468;-70.9092;0;Bottom;Copper Fill21
56;;;30.2133;-33.6474;0;Bottom;Copper Fill115
57;;5 mm [THT];16.3098;-132.554;0;Bottom;LED4
58;;300 mil [THT];54.4096;-36.5873;-90;Bottom;D3
59;;;71.3486;-26.4973;0;Bottom;Copper Fill373
60;;300 mil [THT];21.3896;-129.348;90;Bottom;D12
61;100k;THT;31.5496;-117.893;-90;Bottom;R20
62;;;2.15138;-115.447;0;Bottom;TXT4
63;;;18.7833;-45.0266;0;Bottom;Copper Fill97
64;;;74.6633;-130.98;0;Bottom;Copper Fill290
65;;;30.1117;-99.5604;0;Bottom;Copper Fill38
66;;;18.034;-44.2773;0;Bottom;Copper Fill307
67;1k;THT;55.6796;-84.8727;90;Bottom;R57
68;;;95.0468;-91.2292;0;Bottom;Copper Fill200
69;;;31.4833;-123.868;0;Bottom;Copper Fill271
70;;;49.3268;-91.2546;0;Bottom;Copper Fill195
71;10µF;200 mil [THT, tantalum];25.1996;-105.193;-90;Bottom;C16
72;;;43.3324;-64.5973;0;Bottom;Copper Fill363
73;;;84.7344;-49.116;0;Bottom;Copper Fill30
74;;;50.9778;-42.3596;0;Bottom;Copper Fill31
75;;;71.7677;-9.6698;0;Bottom;Copper Fill274
76;;;31.8262;-87.4573;0;Bottom;Copper Fill240
77;;;58.1533;-26.9926;0;Bottom;Copper Fill167
78;;;59.0042;-89.9973;0;Bottom;Copper Fill109
79;;;57.2262;-105.186;0;Bottom;Copper Fill337
80;;;42.9133;-45.1536;0;Bottom;Copper Fill236
81;;;95.0468;-75.9892;0;Bottom;Copper Fill208
82;;;18.7833;-62.6034;0;Bottom;Copper Fill302
83;;;95.0468;-68.3692;0;Bottom;Copper Fill211
84;1k;THT;42.9796;-84.8727;90;Bottom;R51
85;3.9k;THT;78.5396;-106.463;180;Bottom;R7
86;;;62.1711;-0.952807;0;Bottom;TXT4
87;;;15.0241;-41.2674;0;Bottom;Copper Fill343
88;;;56.7817;-9.6698;0;Bottom;Copper Fill119
89;100k;THT;53.1396;-84.8727;90;Bottom;R56
90;0.1µF;200 mil [THT, multilayer];88.6996;-100.113;90;Bottom;C13
91;4.7nF;100 mil [THT, multilayer];27.7396;-40.4227;90;Bottom;C23
92;;;9.144;-40.4673;0;Bottom;Copper Fill361
93;;;89.4334;-102.697;0;Bottom;Copper Fill132
94;;;79.8096;-47.4077;0;Bottom;OLED1
95;;TO220 [THT];50.5996;-133.387;0;Bottom;Q2
96;;;64.1858;-32.8473;0;Bottom;Copper Fill143
97;;THT;10.2418;-79.5457;180;Bottom;J5
98;;;96.884;-0.864614;0;Bottom;TXT4
99;160;THT;62.0296;-70.9027;180;Bottom;R32
100;;300 mil [THT];68.3796;-36.5873;-90;Bottom;D5
101;;;77.3167;-55.6157;0;Bottom;Via2
102;;;78.0542;-58.2473;0;Bottom;Copper Fill158
103;;DIP (Dual Inline) [THT];74.7296;-82.3327;180;Bottom;IC1
104;;;95.0468;-55.6692;0;Bottom;Copper Fill223
105;;;34.3662;-32.8473;0;Bottom;Copper Fill350
106;;;32.4358;-131.907;0;Bottom;Copper Fill80
107;;;35.7886;-27.7673;0;Bottom;Copper Fill126
108;;;2.15138;-110.461;0;Bottom;TXT4
109;;;63.2333;-31.9202;0;Bottom;Copper Fill142
110;;;18.7833;-43.5534;0;Bottom;Copper Fill98
111;;;18.7833;-49.9034;0;Bottom;Copper Fill304
112;;;95.0468;-65.8292;0;Bottom;Copper Fill212
113;;;51.8668;-91.2546;0;Bottom;Copper Fill196
114;;;58.1533;-28.5674;0;Bottom;Copper Fill166
115;;;25.1333;-101.923;0;Bottom;Copper Fill268
116;;THT;91.2396;-23.9127;0;Bottom;JP4
117;1k;THT;26.4696;-117.893;-90;Bottom;R19
118;;;91.8718;-36.5684;0;Bottom;Copper Fill32
119;;;45.0342;-69.6773;0;Bottom;Copper Fill374
120;;;4.87971;-4.86262;0;Bottom;Hole5
121;;;88.6333;-103.497;0;Bottom;Copper Fill129
122;;;30.1117;-99.5604;0;Bottom;Copper Fill241
123;;TO220 [THT];72.1896;-133.387;0;Bottom;Q3
124;;;18.7833;-57.7266;0;Bottom;Copper Fill300
125;;;95.0468;-78.5292;0;Bottom;Copper Fill18
126;;;46.7741;-9.6698;0;Bottom;Copper Fill150
127;;;20.0533;-86.5302;0;Bottom;Copper Fill246
128;;;59.4233;-59.0474;0;Bottom;Copper Fill365
129;;;49.3268;-91.2546;0;Bottom;Copper Fill6
130;;;18.034;-63.3273;0;Bottom;Copper Fill92
131;;;26.1493;-91.6864;0;Bottom;Copper Fill232
132;;;95.0468;-88.6892;0;Bottom;Copper Fill201
133;;;90.3224;-74.7573;0;Bottom;Copper Fill101
134;;;53.0733;-123.868;0;Bottom;Copper Fill68
135;;;18.034;-44.2773;0;Bottom;Copper Fill99
136;;;18.7833;-57.7266;0;Bottom;Copper Fill87
137;;;25.9334;-102.697;0;Bottom;Copper Fill114
138;100k;THT;86.1596;-63.2827;180;Bottom;R38
139;;;71.7677;-7.3584;0;Bottom;Copper Fill275
140;;;95.0468;-58.2092;0;Bottom;Copper Fill221
141;680;THT;42.9796;-117.893;-90;Bottom;R15
142;;;74.6633;-123.868;0;Bottom;Copper Fill292
143;;;59.1058;-105.186;0;Bottom;Copper Fill338
144;;;30.2133;-103.497;0;Bottom;Copper Fill253
145;1k;THT;86.1596;-70.9027;180;Bottom;R30
146;;;82.3468;-45.1028;0;Bottom;Copper Fill226
147;;;30.1117;-98.2396;0;Bottom;Copper Fill242
148;;;15.9004;-87.3938;0;Bottom;Copper Fill13
149;;300 mil [THT];67.1096;-22.6681;90;Bottom;D13
150;680;THT;64.5696;-117.893;-90;Bottom;R12
151;;;88.8492;-70.4774;0;Bottom;Copper Fill9
152;;;67.0433;-18.001;0;Bottom;Copper Fill147
153;;;27.7368;-64.61;0;Bottom;Copper Fill213
154;;;53.0733;-76.4718;0;Bottom;Copper Fill104
155;;;10.1092;-111.6;0;Bottom;Copper Fill187
156;;;46.8981;-101.29;0;Bottom;TXT2
157;160;THT;62.0296;-67.0927;0;Bottom;R31
158;;300 mil [THT];86.1596;-129.348;90;Bottom;D9
159;;;95.0468;-86.1492;0;Bottom;Copper Fill202
160;;;67.4488;-101.553;0;Bottom;TXT4
161;;;95.0468;-50.5892;0;Bottom;Copper Fill29
162;;;20.8534;-35.3873;0;Bottom;Copper Fill378
163;;;96.2533;-123.868;0;Bottom;Copper Fill59
164;;;31.4833;-122.192;0;Bottom;Copper Fill82
165;;;95.0468;-93.9978;0;Bottom;Copper Fill191
166;;;29.4386;-102.697;0;Bottom;Copper Fill47
167;;;71.7677;-9.6698;0;Bottom;Copper Fill58
168;;;74.6633;-122.192;0;Bottom;Copper Fill293
169;100k;THT;74.7296;-117.893;-90;Bottom;R14
170;;;52.2224;-77.2973;0;Bottom;Copper Fill314
171;;;31.0134;-32.8473;0;Bottom;Copper Fill326
172;;;46.2534;-27.7673;0;Bottom;Copper Fill55
173;;;86.818;-0.864614;0;Bottom;TXT4
174;;;43.3324;-67.1373;0;Bottom;Copper Fill127
175;;;49.3013;-105;0;Bottom;TXT1
176;;;76.4286;-89.9973;0;Bottom;Copper Fill86
177;;THT;21.3896;-18.8327;0;Bottom;MPX4250A
178;;;95.4024;-123.017;0;Bottom;Copper Fill278
179;;;20.0533;-34.6126;0;Bottom;Copper Fill376
180;100k;THT;53.1396;-117.893;-90;Bottom;R17
181;;DIP (Dual Inline) [THT];74.7296;-67.0927;180;Bottom;IC2
182;;;36.5633;-26.9926;0;Bottom;Copper Fill319
183;;;31.922;-0.864567;0;Bottom;TXT4
184;;;45.0342;-62.0573;0;Bottom;Copper Fill379
185;;;30.1117;-98.2396;0;Bottom;Copper Fill39
186;;;92.7862;-102.697;0;Bottom;Copper Fill122
187;;;96.448;-35.9101;0;Bottom;TXT4
188;;3 mm [THT];20.6986;-44.2329;-90;Bottom;LED8
189;;5 mm [THT];37.8995;-132.554;0;Bottom;LED3
190;0.1µF;200 mil [THT, multilayer];45.5196;-25.1827;90;Bottom;C3
191;;;45.4533;-26.9926;0;Bottom;Copper Fill262
192;;;82.0115;-0.914567;0;Bottom;TXT4
193;10k;THT;35.3596;-59.4727;180;Bottom;R60
194;;;2.38293;-97.3846;0;Bottom;TXT4
195;;;53.0733;-122.192;0;Bottom;Copper Fill69
196;47µF;200 mil [THT, tantalum];82.3496;-100.113;90;Bottom;C14
197;;;50.6222;-62.8574;0;Bottom;Copper Fill215
198;;;50.9524;-67.1373;0;Bottom;Copper Fill333
199;;;2.38265;-102.559;0;Bottom;TXT4
200;;;53.0733;-132.86;0;Bottom;Copper Fill283
201;;;53.0733;-89.1718;0;Bottom;Copper Fill110
202;;;2.15138;-60.4086;0;Bottom;TXT4
203;;;26.1493;-93.4136;0;Bottom;Copper Fill35
204;;;45.0342;-64.5973;0;Bottom;Copper Fill138
205;;;2.5365;-70.9202;0;Bottom;TXT4
206;;;58.1533;-26.9926;0;Bottom;Copper Fill354
207;;;45.0342;-67.1373;0;Bottom;Copper Fill128
208;;;64.1647;-99.3907;0;Bottom;TXT4
209;;;10.7188;-40.4673;0;Bottom;Copper Fill136
210;;;49.9872;-69.0804;0;Bottom;Copper Fill230
211;;;9.39521;-30.3567;0;Bottom;Hole1
212;;;32.7533;-80.1802;0;Bottom;Copper Fill251
213;;;62.0268;-93.566;0;Bottom;Copper Fill193
214;;;49.3776;-60.2412;0;Bottom;Copper Fill217
215;;;95.0468;-65.8292;0;Bottom;Copper Fill23
216;;;31.8262;-81.1073;0;Bottom;Copper Fill252
217;;;83.5533;-38.3718;0;Bottom;Copper Fill103
218;;;84.8868;-76.3194;0;Bottom;Copper Fill199
219;;;89.9697;-92.4926;0;Bottom;Hole7
220;;;62.3062;-32.8473;0;Bottom;Copper Fill353
221;;;10.7188;-40.4673;0;Bottom;Copper Fill362
222;;;79.8097;-116.623;0;Bottom;Hole3
223;;;95.0468;-86.1492;0;Bottom;Copper Fill14
224;;;25.1333;-101.923;0;Bottom;Copper Fill112
225;;;31.4833;-132.86;0;Bottom;Copper Fill296
226;680;THT;35.3596;-55.6627;0;Bottom;R33
227;;;56.9468;-91.2546;0;Bottom;Copper Fill198
228;2.49k;THT;54.4096;-23.9127;90;Bottom;R3
229;;;44.1833;-33.6474;0;Bottom;Copper Fill42
230;;;29.4386;-102.697;0;Bottom;Copper Fill254
231;;;75.5142;-123.017;0;Bottom;Copper Fill295
232;;;49.276;-107.638;0;Bottom;Copper Fill3
233;;;96.2533;-132.86;0;Bottom;Copper Fill280
234;470;THT;69.6496;-53.1227;0;Bottom;R8
235;;;45.4533;-89.1718;0;Bottom;Copper Fill44
236;100k;THT;96.3196;-117.893;-90;Bottom;R11
237;;;79.1718;-56.228;0;Bottom;Copper Fill222
238;;;20.0533;-36.1874;0;Bottom;Copper Fill169
239;0.1µF;200 mil [THT, multilayer];72.1896;-23.9127;90;Bottom;C9
240;;;96.2533;-48.5064;0;Bottom;Copper Fill233
241;;;4.87971;-133.133;0;Bottom;Hole4
242;;;2.15138;-50.4368;0;Bottom;TXT4
243;1k;THT;69.6496;-117.893;-90;Bottom;R13
244;;;46.7868;-91.2546;0;Bottom;Copper Fill5
245;;;54.0258;-131.907;0;Bottom;Copper Fill67
246;;;58.1533;-33.6474;0;Bottom;Copper Fill117
247;;;43.3324;-62.0573;0;Bottom;Copper Fill174
248;;;18.7452;-128.593;0;Bottom;Copper Fill181
249;;;18.4404;-111.625;0;Bottom;Copper Fill188
250;;;95.0468;-63.2892;0;Bottom;Copper Fill214
251;;;83.0834;-102.697;0;Bottom;Copper Fill341
252;;;58.1533;-89.1718;0;Bottom;Copper Fill316
253;;;56.7817;-9.6698;0;Bottom;Copper Fill323
254;100k;THT;86.1596;-74.7127;180;Bottom;R36
255;;;95.0468;-73.4492;0;Bottom;Copper Fill209
256;1k;THT;86.1596;-67.0927;180;Bottom;R29
257;1k;THT;86.1596;-82.3327;180;Bottom;R23
258;10k;THT;83.6196;-22.6427;90;Bottom;R40
259;470;THT;75.9996;-22.6427;-90;Bottom;R22
260;;;20.0533;-34.6126;0;Bottom;Copper Fill170
261;;;38.4556;-100.678;0;Bottom;Copper Fill2
262;;;50.6418;-68.3627;0;Bottom;Arduino Mega 2560
263;;;19.2786;-35.3873;0;Bottom;Copper Fill171
264;;;9.9441;-39.6926;0;Bottom;Copper Fill360
265;;;66.8234;-0.958547;0;Bottom;TXT4
266;;;96.2533;-132.86;0;Bottom;Copper Fill63
267;;;95.0468;-68.3692;0;Bottom;Copper Fill22
268;;DIP (Dual Inline) [THT];82.3496;-35.3427;-90;Bottom;IC3
269;;;67.0433;-19.8806;0;Bottom;Copper Fill334
270;;;81.5086;-102.697;0;Bottom;Copper Fill155
271;;;25.1333;-103.497;0;Bottom;Copper Fill111
272;100k;THT;58.2196;-84.8727;90;Bottom;R55
273;;;75.6158;-131.907;0;Bottom;Copper Fill74
274;;;91.2146;-30.4037;0;Bottom;TXT4
275;;3 mm [THT];20.6986;-50.5829;-90;Bottom;LED7
276;;;20.0533;-80.1802;0;Bottom;Copper Fill257
277;;;96.647;-29.304;0;Bottom;Copper Fill33
278;;;66.1162;-18.9281;0;Bottom;Copper Fill148
279;;TO220 [THT];29.0096;-133.387;0;Bottom;Q4
280;;;31.4833;-130.98;0;Bottom;Copper Fill297
281;;;9.44235;-7.21443;0;Bottom;Hole2
282;;5 mm [THT];59.4895;-132.554;0;Bottom;LED2
283;100k;THT;45.5196;-84.8727;90;Bottom;R48
284;;THT;48.0596;-65.8227;0;Bottom;IC5
285;;THT;93.7796;-32.8027;-90;Bottom;JP3
286;;;20.447;-22.6873;0;Bottom;Copper Fill381
287;;;31.4833;-122.192;0;Bottom;Copper Fill272
288;;;96.2533;-48.5064;0;Bottom;Copper Fill36
289;680;THT;86.1596;-117.893;-90;Bottom;R9
290;;;30.7848;-98.8873;0;Bottom;Copper Fill244
291;;;18.7833;-51.3766;0;Bottom;Copper Fill94
292;;;45.4533;-89.1718;0;Bottom;Copper Fill250
293;;;95.0468;-81.0692;0;Bottom;Copper Fill205
294;;;78.2828;-54.323;0;Bottom;Copper Fill218
