*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.3
*Date=07:32:10
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;72.1233;-27.2974;0;Bottom;Copper Fill361
2;;;71.7677;-7.3584;0;Bottom;Copper Fill271
3;;;37.3634;-27.7673;0;Bottom;Copper Fill315
4;;300 mil [THT];68.3796;-36.5873;-90;Bottom;D5
5;;;58.1533;-104.259;0;Bottom;Copper Fill331
6;;300 mil [THT];35.3596;-36.5873;90;Bottom;D2
7;;;30.1117;-99.5604;0;Bottom;Copper Fill43
8;;;89.4334;-102.697;0;Bottom;Copper Fill138
9;;;95.0468;-81.0692;0;Bottom;Copper Fill196
10;;;14.5223;-7.21443;0;Bottom;Hole2
11;;;25.1333;-101.923;0;Bottom;Copper Fill118
12;;;44.6786;-27.7673;0;Bottom;Copper Fill63
13;;;95.0468;-91.2292;0;Bottom;Copper Fill191
14;;;31.0134;-32.8473;0;Bottom;Copper Fill317
15;;;48.3362;-32.8981;0;Bottom;Copper Fill61
16;;;45.4533;-26.9926;0;Bottom;Copper Fill260
17;;;18.034;-44.2773;0;Bottom;Copper Fill302
18;;;45.4533;-89.1718;0;Bottom;Copper Fill50
19;;;51.9684;-91.4324;0;Bottom;Copper Fill13
20;;;95.0468;-60.7492;0;Bottom;Copper Fill30
21;;;34.3662;-32.8473;0;Bottom;Copper Fill255
22;;5 mm [THT];81.0795;-132.554;0;Bottom;LED1
23;;;30.1244;-42.8168;0;Bottom;Copper Fill218
24;;;49.2633;-31.971;0;Bottom;Copper Fill258
25;;;73.8124;-123.017;0;Bottom;Copper Fill84
26;;;10.7188;-40.4673;0;Bottom;Copper Fill142
27;;;2.15138;-45.5449;0;Bottom;TXT4
28;;;9.9441;-39.6926;0;Bottom;Copper Fill140
29;;;9.144;-40.4673;0;Bottom;Copper Fill141
30;;;45.0342;-64.5973;0;Bottom;Copper Fill144
31;;;36.2458;-32.8473;0;Bottom;Copper Fill256
32;;;25.9334;-102.697;0;Bottom;Copper Fill120
33;0.3µF;200 mil [THT, multilayer];20.1196;-37.8827;90;Bottom;C18
34;;;51.7975;-0.864567;0;Bottom;TXT4
35;;;25.9334;-102.697;0;Bottom;Copper Fill269
