*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.3.3
*Date=22:56:51
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;56.4896;-31.5773;0;Bottom;Copper Fill458
2;;;53.0733;-89.1718;0;Bottom;Copper Fill455
3;;;30.2641;-102.532;0;Bottom;Copper Fill223
4;;;72.2122;-55.6692;0;Bottom;Copper Fill325
5;;;54.737;-42.6898;0;Bottom;Copper Fill373
6;;;83.7438;-102.697;0;Bottom;Copper Fill243
7;;;49.4801;-97.2903;0;Bottom;TXT1
8;;;96.2533;-132.86;0;Bottom;Copper Fill135
9;;;46.9303;-0.970304;0;Bottom;TXT4
10;;;56.9468;-91.2546;0;Bottom;Copper Fill8
11;;;43.1546;-70.3377;0;Bottom;Copper Fill494
12;;;95.0468;-73.4492;0;Bottom;Copper Fill285
13;;;48.0879;-46.561;0;Bottom;TXT7
14;;;91.3337;-35.766;0;Bottom;TXT4
15;;;88.6841;-84.4474;0;Bottom;Copper Fill400
16;;;56.9722;-53.1292;0;Bottom;Copper Fill338
17;;;31.0388;-103.307;0;Bottom;Copper Fill225
18;;;51.8922;-50.5892;0;Bottom;Copper Fill353
19;0.22µF;200 mil [THT, multilayer];67.1378;-37.2477;-90;Bottom;C6
20;100k;THT;86.1596;-89.9527;180;Bottom;R35
21;;;87.4522;-55.6692;0;Bottom;Copper Fill331
22;0.1µF;200 mil [THT, multilayer];30.3078;-105.828;-90;Bottom;C15
23;;;36.7665;-7.3584;0;Bottom;Copper Fill534
24;;;42.799;-50.0177;0;Bottom;Copper Fill473
25;;;58.1533;-26.9926;0;Bottom;Copper Fill500
26;;;15.0241;-41.2674;0;Bottom;Copper Fill226
27;;;25.1841;-104.107;0;Bottom;Copper Fill252
28;0.1µF;200 mil [THT, multilayer];45.5196;-25.1827;90;Bottom;C3
29;;;14.224;-40.4673;0;Bottom;Copper Fill228
30;;;73.8124;-123.017;0;Bottom;Copper Fill152
31;;;79.8097;-116.623;0;Bottom;Hole3
32;680;THT;32.8478;-50.5827;0;Bottom;R34
33;;;66.6465;-14.3641;0;Bottom;TXT4
34;;;84.9122;-55.6692;0;Bottom;Copper Fill330
35;;;67.7522;-63.7926;0;Bottom;TXT6
36;;;29.464;-103.307;0;Bottom;Copper Fill224
37;;;11.1633;-96.487;0;Bottom;Copper Fill138
38;;;18.7833;-43.5534;0;Bottom;Copper Fill172
39;;;29.4386;-98.8873;0;Bottom;Copper Fill238
40;;;30.2641;-104.107;0;Bottom;Copper Fill222
41;;;19.1262;-81.1073;0;Bottom;Copper Fill185
42;;;74.6633;-132.86;0;Bottom;Copper Fill147
43;;;88.6841;-68.9026;0;Bottom;Copper Fill117
44;;;4.87971;-4.86262;0;Bottom;Hole5
45;;;18.7833;-49.9034;0;Bottom;Copper Fill169
