*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Teensy 3.5 Adaptor
*Date=09:44:27
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;2.5781;-24.1779;0;Bottom;Copper Fill121
105;;;84.3165;-47.7896;-90;Bottom;TXT19
106;;;39.5478;-6.3217;0;Bottom;Copper Fill266
107;;THT;31.8042;-23.2833;-90;Bottom;J1
108;;;47.6377;-1.9529;0;Bottom;Copper Fill144
109;;THT;12.7542;-8.67826;-90;Bottom;J4
110;;;43.5356;-22.1205;0;Bottom;Copper Fill228
111;;;34.3408;-37.4875;0;Bottom;Copper Fill26
112;;;46.1296;-48.0494;-90;Bottom;TXT19
113;;;2.5781;-22.5015;0;Bottom;Copper Fill122
114;;;13.6144;-42.7199;0;Bottom;Copper Fill166
115;;;95.3262;-31.5439;0;Bottom;Copper Fill212
116;;;90.5138;-22.3761;0;Bottom;TXT19
117;;;95.631;-26.0067;0;Bottom;Copper Fill39
118;;;47.6791;-11.8534;0;Bottom;Via39
119;;;31.8008;-24.2541;0;Bottom;Copper Fill52
120;;;62.738;-11.4525;0;Bottom;Copper Fill251
121;;;62.2808;-33.0171;0;Bottom;Copper Fill202
122;;;16.1798;-15.6435;0;Bottom;Copper Fill231
123;;;53.7685;-48.0494;-90;Bottom;TXT19
124;;;50.8964;-26.4583;0;Bottom;Part1
125;;;14.6177;-29.2579;0;Bottom;Copper Fill115
126;;;12.7381;-7.8965;0;Bottom;Copper Fill86
127;;;47.6791;-2.32835;0;Bottom;Via31
128;;;98.6693;-32.7432;0;Bottom;TXT19
129;;;49.0982;-30.9724;0;Bottom;Copper Fill125
130;;;23.5491;-2.96335;0;Bottom;Via29
131;;;25.9334;-12.0113;0;Bottom;Copper Fill268
132;;;97.5614;-42.5421;0;Bottom;Copper Fill4
133;;THT;31.8042;-38.5233;90;Bottom;J2
134;;;46.736;-36.0905;0;Bottom;Copper Fill203
135;;;45.4406;-36.7255;0;Bottom;Copper Fill200
136;;;5.715;-13.7131;0;Bottom;Copper Fill57
137;330k;0805 [SMD];62.9192;-14.0032;-90;Top;R12
138;;;45.8216;-32.3821;0;Bottom;Copper Fill210
139;;;14.6177;-30.1469;0;Bottom;Copper Fill114
140;;;61.6712;-11.5541;0;Bottom;Copper Fill76
141;;;24.4094;-20.9521;0;Bottom;Copper Fill63
142;;;53.9877;-11.0969;0;Bottom;Copper Fill132
143;;;97.7773;-3.4769;0;Bottom;Copper Fill281
144;;;15.0368;-29.7024;0;Bottom;Copper Fill299
145;;;84.6582;-35.2015;0;Bottom;Copper Fill207
146;;;17.399;-41.7547;0;Bottom;Copper Fill172
147;;;95.3262;-41.7039;0;Bottom;Copper Fill16
148;;;21.844;-40.8403;0;Bottom;Copper Fill174
149;;;65.278;-11.4525;0;Bottom;Copper Fill252
150;;;95.3262;-11.2239;0;Bottom;Copper Fill246
151;;;57.658;-11.4525;0;Bottom;Copper Fill249
152;;;69.0011;-47.7896;-90;Bottom;TXT19
153;;;41.8973;-0.7083;0;Bottom;Copper Fill84
154;;;95.3262;-46.7839;0;Bottom;Copper Fill14
155;;;26.924;-40.2053;0;Bottom;Copper Fill177
156;;;60.5536;-16.8627;0;Bottom;Copper Fill241
157;;;94.4118;-3.0324;0;Bottom;Copper Fill325
158;;;52.578;-11.4525;0;Bottom;Copper Fill247
159;;;98.2218;-3.0324;0;Bottom;Copper Fill284
160;;;78.1177;-11.4779;0;Bottom;Copper Fill290
161;;;98.6693;-42.9596;0;Bottom;TXT19
162;;;81.72;-47.7896;-90;Bottom;TXT19
