*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=VR Conditioner v2
*Date=22:53:36
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;10k;0805 [SMD];4.0589;-16.2511;180;Bottom;R13
2;;;2.3368;-3.6386;0;Bottom;Copper Fill48
3;;;3.66888;-6.72612;0;Bottom;Via3
4;;;22.6808;-9.35918;90;Bottom;TXT3
5;;so08;4.30388;-17.4449;0;Top;IC2
6;;;6.477;-20.0851;0;Bottom;Copper Fill61
7;;;16.3688;-18.7911;0;Bottom;Via14
8;;;3.2004;-7.6518;0;Bottom;Copper Fill16
9;;;14.2748;-8.0455;0;Bottom;Copper Fill53
10;;DIP (Dual Inline) [THT];13.1939;-11.8061;0;Bottom;IC1
11;;;6.84388;-2.91612;0;Bottom;Via12
12;;;12.5589;-2.91612;0;Bottom;Via1
13;;;3.5052;-19.92;0;Bottom;Copper Fill5
14;1nF;0805 [SMD, multilayer];3.03388;-12.8311;90;Bottom;C5
15;;;14.4145;-18.3452;0;Bottom;Copper Fill55
16;;;18.7452;-11.157;0;Bottom;Copper Fill44
17;;;11.2776;-7.22;0;Bottom;Copper Fill19
18;;;12.5349;-11.0808;0;Bottom;Copper Fill56
19;;;1.12888;-23.2361;0;Bottom;Via4
20;220;0805 [SMD];4.5489;-1.6461;180;Top;R2
21;;;8.4582;-6.1151;0;Bottom;Copper Fill34
22;;;18.4404;-15.9576;0;Bottom;Copper Fill10
23;;;6.477;-14.8527;0;Bottom;Copper Fill59
24;;;4.7244;-20.4026;0;Bottom;Copper Fill6
25;10k;0805 [SMD];3.91387;-21.9661;180;Bottom;R9
26;;;2.5654;-23.476;0;Bottom;Copper Fill1
27;0.01µF;0805 [SMD, multilayer];21.0588;-8.6311;0;Bottom;C2
28;10k;0805 [SMD];17.0038;-4.4311;-90;Bottom;R6
29;;;8.0264;-21.952;0;Bottom;Copper Fill3
30;;;22.6568;-21.6726;0;Bottom;Copper Fill2
31;;;13.1939;-21.3311;0;Bottom;Via8
32;;;7.4549;-17.0752;0;Bottom;Copper Fill35
33;;;3.8354;-22.1298;0;Bottom;Copper Fill37
34;;;7.9248;-17.5451;0;Bottom;Copper Fill65
35;;;1.76388;-18.1561;0;Bottom;Via13
36;1k;0805 [SMD];13.8289;-14.5911;-90;Bottom;R3
37;;;4.93888;-3.55112;0;Bottom;Via10
38;;;23.4433;-6.87236;90;Bottom;TXT1
39;;;13.0048;-10.5855;0;Bottom;Copper Fill57
40;;;13.2842;-8.0455;0;Bottom;Copper Fill30
41;10k;0805 [SMD];20.8138;-13.9561;90;Top;R16
42;;;21.7678;-9.9124;0;Bottom;Copper Fill15
43;;;15.9512;-6.2802;0;Bottom;Copper Fill20
44;;;21.7678;-7.3724;0;Bottom;Copper Fill17
45;;;14.6304;-16.6942;0;Bottom;Copper Fill8
46;10k;0805 [SMD];4.6939;-9.2661;180;Bottom;R11
47;;;17.0434;-21.4186;0;Bottom;Copper Fill40
48;;;2.2098;-18.2055;0;Bottom;Copper Fill29
49;;;11.684;-17.9134;0;Bottom;Copper Fill39
50;;;13.6398;-21.3551;0;Bottom;Copper Fill54
51;1µF;0805 [SMD, multilayer];21.0588;-11.1711;0;Bottom;C3
52;;;15.5194;-13.189;0;Bottom;Copper Fill13
53;;;6.1849;-15.602;0;Bottom;Copper Fill58
54;4.7k;THT;15.7339;-3.55111;180;Bottom;R12
55;;;6.3246;-13.1636;0;Bottom;Copper Fill9
56;;;6.6294;-3.791;0;Bottom;Copper Fill49
57;;;6.6802;-1.8606;0;Bottom;Copper Fill26
58;220;0805 [SMD];4.93888;-10.2911;-90;Top;R1
59;;;4.318;-2.6988;0;Bottom;Copper Fill24
60;;;1.2192;-18.2055;0;Bottom;Copper Fill28
61;;;15.4178;-3.1814;0;Bottom;Copper Fill50
62;;;2.1844;-21.4186;0;Bottom;Copper Fill36
63;;;17.018;-9.7854;0;Bottom;Copper Fill46
64;;;7.493;-6.8898;0;Bottom;Copper Fill47
65;;;14.4145;-19.3358;0;Bottom;Copper Fill33
66;;;23.9888;-18.7911;0;Bottom;Via15
67;;;10.3632;-14.4082;0;Bottom;Copper Fill7
68;10k;0805 [SMD];15.4889;-23.2361;180;Bottom;R7
69;;;7.47888;-17.5211;0;Bottom;Via5
70;;;14.5796;-2.902;0;Bottom;Copper Fill25
71;;;12.5589;-10.5361;0;Bottom;Via6
72;;;12.3698;-4.3244;0;Bottom;Copper Fill23
73;;;2.032;-11.4618;0;Bottom;Copper Fill14
74;1nF;0805 [SMD, multilayer];9.77387;-23.2361;180;Bottom;C4
75;;;18.923;-4.7816;0;Bottom;Copper Fill18
76;;;19.3802;-19.3358;0;Bottom;Copper Fill41
77;;;18.9992;-15.602;0;Bottom;Copper Fill42
78;;;15.6972;-20.682;0;Bottom;Copper Fill4
79;;;1.7145;-18.7008;0;Bottom;Copper Fill27
80;;;13.8049;-7.5502;0;Bottom;Copper Fill52
81;1k;0805 [SMD];21.2039;-16.2511;180;Bottom;R5
82;;;20.32;-11.8428;0;Bottom;Copper Fill12
83;;;3.6449;-20.8344;0;Bottom;Copper Fill62
84;;;2.7432;-9.9632;0;Bottom;Copper Fill45
85;;;6.20888;-6.72612;0;Bottom;Via2
86;;;6.2484;-16.0084;0;Bottom;Copper Fill38
