Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
"IC1,IC2",LMV324LIDT,2
"R1,R3,R5,R7,R9,R11,R13,R15",TNPW0805180KBEEA,8
"R2,R4,R6,R8,R10,R12,R14,R16",RT0805BRD07330KL,8
Dual row connector,PPTC182LFBN-RC,1
8 position headers,PPTC081LFBN-RC,5
10 position header,PPTC101LFBN-RC,1
