*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4
*Date=12:33:42
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;83.1342;-13.4368;0;Bottom;Copper Fill342
2;;;50.8762;-70.5614;0;Bottom;Copper Fill260
3;;;6.2992;-6.4899;0;Bottom;Copper Fill185
4;;TO220 [THT];35.3362;-53.798;180;Bottom;Q8
5;;;41.402;-95.9995;0;Bottom;Copper Fill145
6;;;21.3868;-48.9968;0;Bottom;Copper Fill50
7;;;58.5978;-40.5132;0;Bottom;Copper Fill334
8;;;86.741;-94.6279;0;Bottom;Copper Fill419
9;;;31.8008;-55.3595;0;Bottom;Copper Fill184
10;;;70.6601;-64.3677;0;Bottom;TXT1
11;;THT;15.6512;-66.117;0;Bottom;MPX4250A
12;;;73.3933;-88.8748;0;Bottom;Copper Fill139
13;;;95.0214;-37.5414;0;Bottom;Copper Fill320
14;;;92.4814;-40.3862;0;Bottom;Copper Fill76
15;;;97.6376;-43.7898;0;Bottom;Copper Fill55
16;10k;THT;30.2562;-22.302;-90;Bottom;R54
17;1k;THT;37.2178;-92.7635;0;Bottom;R10
18;470;THT;44.8612;-22.302;-90;Bottom;R4
19;;300 mil [THT];61.3712;-23.5974;90;Bottom;D6
20;;;86.0933;-95.301;0;Bottom;Copper Fill416
21;;;93.7133;-35.4586;0;Bottom;Copper Fill415
22;;;3.5052;-15.2148;0;Bottom;Copper Fill344
23;470;THT;56.2912;-22.302;-90;Bottom;R6
24;;;71.8566;-52.6798;0;Bottom;Copper Fill286
25;;;90.1954;-40.7164;0;Bottom;Copper Fill75
26;;;86.0933;-93.9548;0;Bottom;Copper Fill417
27;;;39.878;-42.0499;0;Bottom;Copper Fill201
28;;;97.3328;-39.9798;0;Bottom;Copper Fill315
29;;THT;90.5812;-15.952;180;Bottom;JP3
30;;;2.6416;-43.2056;0;Bottom;Copper Fill69
31;;3 mm [THT];63.9672;-58.4968;90;Bottom;LED5
32;;;48.9966;-78.1814;0;Bottom;Copper Fill13
33;1k;THT;47.4012;-71.832;90;Bottom;R57
34;;;93.5736;-93.4595;0;Bottom;Copper Fill190
35;;;95.0214;-78.1814;0;Bottom;Copper Fill251
36;;;63.6778;-47.3712;0;Bottom;Copper Fill297
37;0.1µF;200 mil [THT, multilayer];70.2612;-14.682;0;Bottom;C9
38;;;92.4814;-37.8462;0;Bottom;Copper Fill318
39;;;65.7733;-54.2292;0;Bottom;Copper Fill158
40;;;43.5229;-55.6008;0;Bottom;Copper Fill171
41;;;19.177;-35.0395;0;Bottom;Copper Fill220
42;;;48.768;-78.0798;0;Bottom;Copper Fill253
43;;TO220 [THT];53.7512;-91.136;0;Bottom;Q1
44;;;72.5932;-89.6495;0;Bottom;Copper Fill140
45;;;78.4733;-87.9096;0;Bottom;Copper Fill191
46;;;21.3868;-21.0568;0;Bottom;Copper Fill115
47;160;THT;65.8162;-69.927;-90;Bottom;R27
48;0.1µF;200 mil [THT, multilayer];39.7812;-9.60196;180;Bottom;C3
49;;;30.8911;-41.352;0;Bottom;Via4
50;470;THT;39.1462;-22.302;-90;Bottom;R2
51;;;42.2529;-8.8648;0;Bottom;Copper Fill221
52;;;29.6672;-36.2714;0;Bottom;Copper Fill83
53;;;89.5604;-55.3214;0;Bottom;Copper Fill283
54;;;21.3868;-53.9244;0;Bottom;Copper Fill42
