*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4.4-smt
*Date=08:10:02
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;THT;9.9362;-36.907;0;Bottom;J35
102;;;6.1214;-35.6364;0;Bottom;Copper Fill81
103;;;8.6614;-12.7764;0;Bottom;Copper Fill144
104;;;16.256;-57.5312;0;Bottom;Copper Fill38
105;;;67.6529;-7.8488;0;Bottom;Copper Fill810
106;;;18.1737;-12.0144;0;Bottom;Copper Fill717
107;;;91.1733;-45.39;0;Bottom;Copper Fill315
108;;;65.7733;-57.8614;0;Bottom;Copper Fill751
109;;;84.1629;-41.2244;0;Bottom;Copper Fill638
110;;;96.4184;-19.7995;0;Bottom;Copper Fill642
111;;;57.4929;-20.6504;0;Bottom;Copper Fill704
112;;;78.6384;-21.7299;0;Bottom;Copper Fill220
113;;;21.3614;-10.8714;0;Bottom;Copper Fill600
114;;;95.0214;-45.1614;0;Bottom;Copper Fill483
115;;THT;7.3962;-34.367;0;Bottom;J53
116;;THT;90.5812;-15.952;180;Bottom;JP3
117;;;70.8649;-73.8283;0;Bottom;TXT1
118;;;47.5742;-29.6674;0;Bottom;Copper Fill533
119;;;51.308;-59.1822;0;Bottom;Copper Fill452
120;;;65.7733;-59.2584;0;Bottom;Copper Fill308
121;;;65.7733;-37.5414;0;Bottom;Copper Fill313
122;;;92.8021;-22.2818;-90;Bottom;TXT4
123;;;21.1074;-44.1708;0;Bottom;Copper Fill485
124;0.1µF;0805 [SMD, multilayer];66.8412;-14.6819;0;Top;C9
125;;;31.1658;-86.4618;0;Bottom;Copper Fill396
126;;;57.1246;-83.9599;0;Bottom;Copper Fill729
127;;;21.3614;-48.9714;0;Bottom;Copper Fill51
128;0.1µF;200 mil [THT, multilayer];73.4362;-87.072;90;Bottom;C13
129;;;85.2424;-13.9448;0;Bottom;Copper Fill141
130;;;50.2158;-87.0714;0;Bottom;Copper Fill8
131;;;15.7988;-56.0199;0;Bottom;Copper Fill659
132;100k;THT;22.6362;-95.962;180;Bottom;R17
133;;;37.6428;-15.9895;0;Bottom;Copper Fill342
134;;;98.5774;-52.8195;0;Bottom;Copper Fill354
135;100k;THT;57.5612;-71.832;90;Bottom;R48
136;1µF;0805 [SMD, multilayer];67.7212;-56.982;-90;Top;C11
137;;;57.0484;-21.0695;0;Bottom;Copper Fill253
138;;;6.477;-53.9244;0;Bottom;Copper Fill480
139;;;18.288;-95.9995;0;Bottom;Copper Fill743
140;;;25.1761;-29.287;0;Bottom;Via48
141;;;57.4929;-21.514;0;Bottom;Copper Fill251
142;;;55.6133;-17.7548;0;Bottom;Copper Fill325
143;;;68.3133;-21.2854;0;Bottom;Copper Fill248
144;;;57.9374;-21.0695;0;Bottom;Copper Fill254
145;;;8.6614;-22.9364;0;Bottom;Copper Fill558
146;;;39.5224;-43.9295;0;Bottom;Copper Fill179
147;;;42.9768;-37.897;0;Bottom;Copper Fill78
148;;;1.9635;-6.21536;0;Bottom;TXT7
149;;;15.7988;-44.5899;0;Bottom;Copper Fill655
150;;;77.2033;-69.774;0;Bottom;Copper Fill263
151;;;8.6614;-15.3164;0;Bottom;Copper Fill136
152;;THT;12.4762;-29.287;0;Bottom;J31
153;;;68.9229;-88.9256;0;Bottom;Copper Fill789
154;1k;THT;47.4012;-71.832;90;Bottom;R57
155;;;2.6416;-83.9599;0;Bottom;Copper Fill745
156;;;27.0811;-23.572;0;Bottom;Via52
157;;;29.8958;-92.3292;0;Bottom;Copper Fill3
158;;300 mil [THT];59.4916;-94.692;180;Bottom;D9
159;;;11.2014;-15.3164;0;Bottom;Copper Fill589
160;;THT;4.8562;-34.367;0;Bottom;J65
161;120;0805 [SMD];46.7662;-11.7519;90;Top;R62
162;;;93.7133;-32.7154;0;Bottom;Copper Fill231
163;;;59.4233;-87.3254;0;Bottom;Copper Fill721
164;;;8.6614;-25.4764;0;Bottom;Copper Fill104
165;;;64.9732;-23.1523;0;Bottom;Copper Fill773
166;;;88.9;-26.1114;0;Bottom;Copper Fill532
167;;;50.5333;-41.6054;0;Bottom;Copper Fill632
168;;;95.0214;-70.5614;0;Bottom;Copper Fill26
169;;;47.4134;-7.5417;0;Bottom;TXT13
170;;;76.3524;-28.0799;0;Bottom;Copper Fill726
171;470;THT;37.2412;-22.937;-90;Bottom;R2
172;;;80.01;-78.4862;0;Bottom;Copper Fill414
173;;;79.5274;-21.7299;0;Bottom;Copper Fill674
174;;;47.3329;-55.7532;0;Bottom;Copper Fill760
175;;;78.3336;-68.4024;0;Bottom;Copper Fill439
176;;;74.7061;-7.06206;0;Bottom;Via6
177;;THT;12.4762;-26.747;0;Bottom;J27
178;;;13.7414;-28.0164;0;Bottom;Copper Fill100
179;;THT;12.4762;-21.667;0;Bottom;J32
180;;;27.0129;-24.054;0;Bottom;Copper Fill243
181;;;76.962;-57.2899;0;Bottom;Copper Fill747
182;;;44.958;-36.9699;0;Bottom;Copper Fill792
183;;;95.0214;-70.5614;0;Bottom;Copper Fill426
184;;;81.3308;-57.8614;0;Bottom;Copper Fill457
185;;;13.7414;-17.8564;0;Bottom;Copper Fill581
186;;;51.5874;-75.0699;0;Bottom;Copper Fill669
187;2.4k;THT;37.2412;-82.627;0;Bottom;R12
188;;;3.3528;-92.8372;0;Bottom;Copper Fill384
189;;;5.0038;-97.9299;0;Bottom;Copper Fill781
190;;;18.1737;-11.1254;0;Bottom;Copper Fill270
191;;;3.175;-21.4886;0;Bottom;Copper Fill109
192;;;12.7762;-55.423;0;Bottom;Copper Fill31
193;;DIP (Dual Inline) [THT];74.0712;-55.957;180;Bottom;IC1
194;2.4k;THT;61.3712;-40.082;90;Bottom;R33
195;;;58.3735;-7.49119;0;Bottom;TXT13
196;;;32.1564;-58.5218;0;Bottom;Copper Fill35
197;;;11.2014;-35.6364;0;Bottom;Copper Fill507
198;;;95.0214;-37.5414;0;Bottom;Copper Fill502
199;;;1.89408;-36.5859;0;Bottom;TXT11
200;;;13.7414;-22.9364;0;Bottom;Copper Fill560
201;;;53.7464;-67.7166;0;Bottom;Copper Fill434
202;;;24.892;-20.0408;0;Bottom;Copper Fill114
203;;;89.9463;-79.4519;0;Bottom;Hole7
204;;;5.9944;-45.8599;0;Bottom;Copper Fill813
205;;;74.7014;-32.1312;0;Bottom;Copper Fill519
206;;;93.0529;-25.0954;0;Bottom;Copper Fill235
207;;;67.6529;-55.55;0;Bottom;Copper Fill736
208;;3 mm [THT];63.9672;-43.2568;90;Bottom;LED7
209;;;1.8288;-45.4154;0;Bottom;Copper Fill56
210;;;98.1329;-53.264;0;Bottom;Copper Fill353
211;;;8.6614;-33.0964;0;Bottom;Copper Fill514
