*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=NA Miata 48 pin
*Date=13:46:07
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
106;;THT;9.12196;-75.693;180;Bottom;J3
107;;;5.6896;-47.2696;0;Bottom;Copper Fill54
108;;THT;26.6597;-35.561;0;Bottom;2L
109;;THT;26.6597;-32.5505;0;Bottom;2N
110;;THT;26.7656;-60.4555;0;Bottom;1T
111;;THT;26.6244;-26.6117;0;Bottom;2R
112;;;5.6896;-54.8896;0;Bottom;Copper Fill47
113;;;5.6896;-16.7896;0;Bottom;Copper Fill23
114;;;12.5476;-24.562;0;Bottom;Copper Fill65
115;;;5.6896;-57.4296;0;Bottom;Copper Fill5
116;;THT;26.6597;-38.5711;0;Bottom;2J
117;;THT;26.7046;-23.6103;0;Bottom;2T
118;;;2.70367;-93.3681;0;Bottom;TXT5
119;;;17.1958;-85.4331;0;Bottom;Copper Fill34
120;;THT;22.2382;-51.1537;0;Bottom;2A
121;;;10.0965;-72.5426;0;Bottom;Copper Fill30
122;;;3.6068;-59.995;0;Bottom;Copper Fill44
123;;;5.6896;-14.7576;0;Bottom;Copper Fill71
124;;THT;22.2147;-35.5378;0;Bottom;2K
125;;THT;26.7538;-63.4423;0;Bottom;1R
126;;;9.2456;-73.3427;0;Bottom;Copper Fill80
127;;;19.9898;-50.0128;0;Bottom;Copper Fill73
128;;THT;22.2596;-23.5871;-90;Bottom;2S
129;;;5.6896;-26.9496;0;Bottom;Copper Fill63
130;;;3.6068;-50.0128;0;Bottom;Copper Fill52
131;;;15.6464;-85.4331;0;Bottom;Copper Fill84
132;;;5.6896;-32.0296;0;Bottom;Copper Fill16
133;;;16.8656;-72.0727;0;Bottom;Copper Fill78
134;;300 mil [THT];10.1126;-7.28003;0;Bottom;D1
135;;THT;26.7538;-78.4588;0;Bottom;1H
136;;;5.6896;-62.408;0;Bottom;Copper Fill41
137;;THT;22.3088;-69.4395;0;Bottom;1M
138;;;20.039;-3.47325;0;Bottom;TXT6
