*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=schematic v0.4
*Date=22:13:44
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
101;;;21.3868;-36.2968;0;Bottom;Copper Fill89
102;;;88.6333;-64.44;0;Bottom;Copper Fill516
103;;;86.0933;-93.9548;0;Bottom;Copper Fill500
104;;;95.0214;-55.3214;0;Bottom;Copper Fill319
105;;;56.6166;-78.1814;0;Bottom;Copper Fill16
106;;;48.6029;-58.3948;0;Bottom;Copper Fill192
107;;;48.9966;-68.3262;0;Bottom;Copper Fill26
108;;;34.0233;-10.4396;0;Bottom;Copper Fill540
109;;;86.741;-94.6279;0;Bottom;Copper Fill248
110;;TO220 [THT];35.3362;-66.498;180;Bottom;Q7
111;1k;THT;86.1362;-39.447;180;Bottom;R29
112;680;THT;58.8312;-40.082;90;Bottom;R34
113;;;92.4433;-94.6152;0;Bottom;Copper Fill493
114;;;67.6529;-13.9448;0;Bottom;Copper Fill546
115;100k;THT;37.2412;-95.962;0;Bottom;R11
116;;;95.0214;-70.5614;0;Bottom;Copper Fill25
117;47µF;200 mil [THT, tantalum];68.3562;-87.072;90;Bottom;C14
118;;;40.3733;-32.1058;0;Bottom;Copper Fill496
119;;TO220 [THT];35.3362;-60.148;180;Bottom;Q5
120;;;89.9414;-32.2074;0;Bottom;Copper Fill363
121;0.22µF;200 mil [THT, multilayer];39.1462;-39.447;90;Bottom;C8
122;;;16.6624;-95.9995;0;Bottom;Copper Fill455
123;;;13.7033;-31.7248;0;Bottom;Copper Fill415
124;1k;THT;49.9412;-71.832;90;Bottom;R50
125;;3 mm [THT];64.6022;-43.2568;90;Bottom;LED7
126;;;79.1972;-55.6262;0;Bottom;Copper Fill38
127;10k;THT;81.0562;-15.317;0;Bottom;R40
128;;;37.7952;-86.8174;0;Bottom;Copper Fill274
129;;;70.1929;-93.1928;0;Bottom;Copper Fill125
130;;;32.7533;-20.2948;0;Bottom;Copper Fill231
131;;;23.4442;-14.7195;0;Bottom;Copper Fill449
132;;;77.2414;-32.182;0;Bottom;Copper Fill94
133;;;84.1629;-25.324;0;Bottom;Copper Fill206
134;;;14.3637;-46.6346;0;Bottom;Copper Fill537
135;;;41.402;-95.9995;0;Bottom;Copper Fill182
136;;;92.4814;-43.1294;0;Bottom;Copper Fill343
137;;;4.826;-41.3514;0;Bottom;Copper Fill58
138;;;18.4404;-51.5114;0;Bottom;Copper Fill329
139;;;84.8614;-32.182;0;Bottom;Copper Fill97
140;;;3.58619;-77.547;0;Bottom;Hole8
141;;;8.0137;-17.7548;0;Bottom;Copper Fill433
142;;;64.008;-73.7999;0;Bottom;Copper Fill127
143;;;14.3637;-45.0852;0;Bottom;Copper Fill263
144;1µF;200 mil [THT, multilayer];82.9612;-34.367;180;Bottom;C12
145;;;24.257;-9.2966;0;Bottom;Copper Fill391
146;;;31.9532;-37.5795;0;Bottom;Copper Fill432
147;;;97.3074;-37.5414;0;Bottom;Copper Fill357
148;;;95.0214;-45.1614;0;Bottom;Copper Fill63
149;;;32.7533;-67.1324;0;Bottom;Copper Fill512
150;;;73.3933;-88.8748;0;Bottom;Copper Fill176
151;;;26.1874;-40.437;0;Bottom;Copper Fill349
152;680;THT;37.2178;-90.2235;0;Bottom;R9
153;;;42.418;-41.3895;0;Bottom;Copper Fill152
154;;;95.0214;-47.7014;0;Bottom;Copper Fill54
155;;DIP (Dual Inline) [THT];74.0712;-40.717;180;Bottom;IC2
156;;;21.3868;-23.5968;0;Bottom;Copper Fill109
157;;;2.6162;-41.2244;0;Bottom;Copper Fill70
158;;;13.716;-69.5962;0;Bottom;Copper Fill24
159;;;55.7276;-17.6532;0;Bottom;Copper Fill394
160;;;21.3868;-21.0568;0;Bottom;Copper Fill378
161;;;66.3829;-38.9892;0;Bottom;Copper Fill200
162;0.1µF;200 mil [THT, multilayer];79.7862;-94.692;0;Bottom;C15
163;;;72.7329;-37.7446;0;Bottom;Copper Fill158
164;;300 mil [THT];61.3712;-23.5974;90;Bottom;D6
165;;;54.3433;-42.1896;0;Bottom;Copper Fill155
166;;;74.1426;-21.7172;0;Bottom;Copper Fill376
167;;;79.5274;-41.2498;0;Bottom;Copper Fill347
168;;;92.4814;-40.3862;0;Bottom;Copper Fill74
169;;;97.8916;-45.136;0;Bottom;Copper Fill340
170;;;13.7033;-30.7596;0;Bottom;Copper Fill416
171;;;77.6732;-87.1095;0;Bottom;Copper Fill446
172;10k;THT;30.2562;-22.302;-90;Bottom;R54
173;;;51.5366;-78.1814;0;Bottom;Copper Fill14
174;;;21.3868;-13.4368;0;Bottom;Copper Fill119
175;;;84.1629;-41.2752;0;Bottom;Copper Fill428
176;;;95.0214;-62.9414;0;Bottom;Copper Fill308
177;;;84.1629;-25.324;0;Bottom;Copper Fill481
178;;;16.51;-69.9899;0;Bottom;Copper Fill541
179;;;4.6736;-67.4499;0;Bottom;Copper Fill139
180;;;32.7533;-62.662;0;Bottom;Copper Fill486
181;;;71.5311;-47.702;0;Bottom;Via2
182;680;THT;57.5612;-58.497;-90;Bottom;R28
